DateTime,AddedIPs,RemovedIPs
1658628249,35,0
1658632084,34,31
1658643606,32,57
1658644600,346,298
1658649611,1222,1460
1658678165,13,29
1658716570,62,79
1658728327,35,35
1658736494,340,313
1658763609,1264,1798
1658802730,70,0
1658814490,32,0
1658822411,1769,2123
1658828172,244,208
1658828680,95,94
1658849768,15,12
1658888652,67,60
1658900406,37,36
1658905213,1871,1713
1658919618,244,220
1658920836,91,91
1658935448,17,12
1658974329,30,28
1658978170,32,58
1658985849,27,26
1658991613,1993,1983
1659011299,250,225
1659012739,164,106
1659020886,16,6
1659063132,59,40
1659074655,41,59
1659102736,2217,1686
1659103687,133,92
1659109685,17,19
1659148089,60,59
1659159607,26,29
1659160813,2009,1220
1659193930,249,213
1659194164,10,9
1659195857,104,101
1659232808,29,0
1659236646,32,24
1659247211,1580,1077
1659248409,29,26
1659283209,13,7
1659286112,250,231
1659287530,121,72
1659321849,68,60
1659333365,31,0
1659333611,1271,1528
1659368885,9,6
1659379000,249,226
1659379927,123,107
1659408013,50,101
1659419768,36,68
1659420012,1613,1427
1659454326,15,15
1659471158,250,233
1659472328,118,102
1659493450,28,22
1659497287,27,38
1659504968,35,0
1659506409,1702,1456
1659540005,18,15
1659563286,248,228
1659564012,134,104
1659578888,24,35
1659582970,27,0
1659590891,31,23
1659626171,1899,1486
1659655720,346,306
1659664808,19,0
1659668648,36,55
1659672010,1467,1430
1659680170,40,43
1659748360,384,324
1659754807,54,74
1659754810,1233,1240
1659766806,38,33
1659802091,23,32
1659840018,372,321
1659840969,65,52
1659841208,1273,1502
1659852966,36,19
1659884649,7,0
1659927365,64,40
1659932656,1577,1849
1659939129,26,32
1659974405,12,23
1660010412,1774,1687
1660013292,50,39
1660024893,396,385
1660059847,12,7
1660096809,1758,1645
1660098487,50,51
1660110489,39,21
1660116970,361,336
1660145526,16,14
1660179611,1582,1531
1660184408,28,0
1660188488,32,69
1660196166,26,0
1660208453,398,338
1660230730,8,0
1660266009,1258,1743
1660269609,19,20
1660273449,36,36
1660285206,38,70
1660300580,366,359
1660320005,10,30
1660352409,1383,1431
1660358648,54,21
1660370414,23,0
1660392764,379,341
1660404969,6,0
1660438810,1105,1190
1660443851,29,23
1660447686,37,65
1660455372,25,21
1660484414,356,353
1660489924,15,14
1660525209,1057,1733
1660532412,63,97
1660543926,38,54
1660576573,369,317
1660578729,4,17
1660611611,1313,1745
1660617129,66,28
1660628652,26,30
1660663687,12,13
1660669003,365,329
1660698007,1605,1761
1660702569,24,0
1660706647,33,71
1660714326,31,0
1660748884,12,0
1660759928,374,310
1660784411,1714,1679
1660791367,64,90
1660803130,29,64
1660837930,11,21
1660852093,364,305
1660870809,1537,1811
1660876813,53,30
1660888328,38,31
1660923126,15,6
1660944012,389,331
1660957206,1516,1202
1660961771,31,0
1660965849,35,65
1660973528,27,0
1661008564,11,0
1661036169,381,310
1661043609,1155,1353
1661047752,30,26
1661051527,32,31
1661063048,21,59
1661097848,4,7
1661128846,370,307
1661130008,1023,1645
1661136732,59,80
1661148255,36,23
